order_id,products
313331,12341 19660
3241020,21709
1549872,1160 47931
1653971,3318 3849 15424 33198
3161938,10108 47626
2318705,5876 8518 20995 21367 21616 21903 24964 27881 30391 35547 47209
1882331,2966 5312 16797 18523 24852 27579 47931
1696774,1366 17615 36099 41680 43967
2686576,432 9387 21872 46802
3048274,13712 15399 19598 20084 26309 34224 45599
1141566,4920 43352
3069370,27845
2969880,3957 5479 9076 13263 16185 21903 24964 27966 35168 44632 47766
2726815,15424 24852 37606
1862801,7948 17454 27845 35951 49235 49683
865014,5776 11361 11422 16797 24184 34969
2572142,13225 16797 24852 27292
1379299,45
1579044,1158 12258 21903 24852 28204 34358 47626 49683
346816,3873
3116687,3061 11899 15353 16096 23405 25810 25860 25950 28577 30251 31981 33793 34355 35759 39454 39979 42895 43409 43511 43967 46541 47540 47987
158824,4317 4591 4920 10070 10145 15124 15925 19660 23803 26209 27238 28842 33231 33819 42352 44536 44799 46023 46416 46844 47793
2306683,23765 26683 28476
939128,11777 46906 49683
1242621,25 3495 35914 39322 40236
82598,13176
1177551,31380
61423,651 6184 8057 12078 18023 25017 35561
738988,27966
1105633,21137 24852 28204 38508 39922
930307,2805 4357 22677 24852 39190
588332,6656 19875 21137 31350 31640
2964001,14233
1971668,4175 5578 6656 8809 9934 17704 18234 19660 21405 28226 28849 28985 33000 34243 38374 46667
1452849,5876 13984 21137 21903 21938 26209 30391 31717 43295 44359 46667 47209
2242945,2846 6347 7801 8412 16589 17652 22035 25138 27845 28934 29487 31528 35951 39121 40706 42265 46906 46969 49075 49175
465851,79 13942 24852 27023 30135 40910 45948
1080218,24852
3088338,21454 26706 42347
3037363,8963 20161 43295 48199
2305779,12341 22938 48174
632748,24701 28080 28449
2770483,9018 21543 27325 44422
143045,8277 8479 10749 11100 13176 21137 21903 22035 25890 35221 39275 40002 40268 43654
2481483,19660
1299805,27845 42736
2364890,5322 18095 19376
1979817,1194 4472 5876 14947 21709
2193705,4149 6087 6184 8048 12341 21903 29223 38768 39275 40120 40742
1160743,4193 13176 21903 27845 39732
239545,2482 8654 9339 13702 19862 21137 27086 27966 29127 30489 30774 34295 34943 35951 36830 41588 42342 42450 43961
729099,12341
906822,4920 8571 22046 38768
887842,13176 20995 21295 24082 33120 45763
1185710,9839 14715 19508 21137 21267 21775 21903 22935 24184 24852 24964 25890 26209 27845 28204 30024 30391 38689 39216 42828 45633
1237726,26209 39877 44142 46654
572050,31846
1753574,6348 10385 18838 19348 21137 22935 24184 24852 25890 27845 38293 42606 47766
442242,3957 7521 25718
3376600,2295 4792 5212 8710 13829 13870 14633 15649 15950 17949 19678 20127 20995 21903 22935 24852 26283 26369 26856 27966 33754 37646 41540 42265 43726 43819 46747 46820 47209 47761 48476 48679
2557552,1468 2809 24852
2391680,13176 21903 21938 26369 27845 27966 38689 39275 42265 45007
2196307,3957 4957 5077 14924 17429 29370 31040 33754 35221 40571 44632 47943
198531,4227 24195 24852 30442
1281623,162 1511 6638 8277 22908 24852 25513 25753 33055 36735 49235
1309059,10749 21903 24852 47766
654116,6829 7607 10133 16797 16844 22242 23296 24669 25146 26505 32047 36011 44116 44156 45825 46572 48004 48762 49191
2761369,13176 22935 26800 27061 28378 33572 35921 37646 47209 49236
1918388,8277 14084 25931 27104 33120 39639 42265 42585
3073553,340 486 2063 4210 7054 12703 14947 16797 18434 21137 24852 33768 34243 35503 35951
1266894,1511 19761 47141
2185735,1463 3957 12807 21174 27966 34243 37022 43961 47209 47492 49241
1676841,26914 32478 38928 49235
1088553,27845
65467,3957 17948 24852 35140 44910
2314209,28581 33129 45763
3407461,24852 27730 43154
2372519,6533 8193 8274 8590 21137 41722
2247264,18176 41549
2651333,432 1321 19638 28985 40174
1990335,43598 43961
668032,6347 22260
2730481,4920 7916 14947 19057 19348 20574 21903 24964 27845 30391 39993 47766
1032696,4957 9755 24852 37646 42265 46676 47626 47766
3355968,13176 30169 35951 43295
1945605,5785 8021 12576 16262 21709 26620 27086 35221 42828 44292 44632 47144
1098067,3585 4421 14467 23644 36550 37158
2890507,1409 8710 16663
2519594,2748 7054 13083 13176 14874 16953 21137 24838 27966 33731 39570 41844 42265 43643 45066 45504 45965 46313 46381 47209
1493300,3957 7781 8277 13113 13176 17630 17706 18465 24852 27966
476412,5450 21405 24852 32153 49683
2151106,4776 13176 16541 21137 24269 28227 42820 43352 47141
293692,27548 34050
836275,5460 10673 12817 13293 16816 24852 32566 35376 37017 39982 41950 43967
1956871,3999 4443 5101 13921 23719 28204 34502 35951 36214
68117,9605 12870 17341 18284 21333 21386 26165 28092 28204 30320 35914 49030
3387692,13176 18670 21162 24221 27845
543041,5612 13819 22035 26497 35221
1455788,1775 4674 18104 23819 27612 28296 33852 40354 41805 43772 48071
1490499,11140 24852 25890 47626
2055323,13176
1324947,2611 13646 13712 16797 20995 21137 22035 27966 33198 34448 36406 38452
891657,9337 12953 13176 18413 20734 28476 30391 35921 43484 46313 47388
3112323,36258
1241495,8277 9018 13176 13629 19741 21137 25837 39589 44632 45948
1112531,15613 24857 32478 35045 38689 43712 49235
1545001,17487 21607 21616 26810 27966 30233 36929
1267591,4920 5456 24852 42342
944071,13944
606811,1940 10125 14633 18465 19354 21137 21903 24852 31257 36717 37718
1901134,4163 24852 30003 43209 48395 49381 49683
1461409,21137 27966 32864 37288 38159
1036348,13176 23044 47209
1803743,10673 13249 14111 43631 49319
3259141,13176
2377342,11182 12508 27360 32465 34234 42360
2080645,1940 13176 13225 19057 20166 21019 27196 33129 34234 36878 37449 39041 39303 41290 47329
599014,9387 20114 26384 28118 44570 47626 49381
587740,7533 13263 17317 23296 24799 33548 38241 40621 44156 47965
877079,34 9438 14233 16290 18389 22888 23427 24852 26800 31683
1887969,24852
3100473,2078 3957 5876 10749 13083 17461 17948 19820 20899 21137 21903 22825 22935 24964 27104 27966 28985 32935 34126 34458 35547 36724 39984 44359 47209 48679
123641,19348 26604 29615 44085 48527
2104476,5077 5959 8277 18370 20995 21903 24852 27845 30391 31343 35221 37687 39928 43961 45007 47766 48476 48679
3025259,3434 10036 12099 19511 22470 32018 32740 36144
203528,9839 10831 11710 13176 18465 19934 21137 21903 27845 27966 39928 43768 45007 45504 47766
1094091,4793 24476 27966 30440 34050 39527
764108,1695 8047 13176 18552 20298 24920 27522 40261 42719 43693
1386850,3952 18224 21616 22959 24125 27104 30391 31717 32134 32655 43789 45007 46194 48988
728126,2229 5535 15709 24852 30117 35914
1886032,581 2094 3481 4421 4605 4942 5337 9346 10761 11068 12872 13176 13733 16185 19048 21267 21903 22474 24830 26723 28553 28985 29487 32717 34050 35004 35108 35921 36606 38273 40709 42828 44560 45679 46802
630214,2120 6187 6340 8013 9901 11869 14901 23909 24852 44799 45622
1533834,13524 24852 25108
736391,14979
1470781,27845 27966 43961
2360269,2962 4879 5077 13834 22151 25804 27086 36126 39581 45761 49141 49628
1237146,16249 24852 49235 49683
3128663,13424 26881 31759
2535468,6184 12341 13176 14979 25653
1619858,24964 47626
999537,23909 30850 32700 41148
162228,3999 4920 13176 21616 38662 42265 45763
160588,13176 29848 34668
2914973,17652 22935 24852 25890 29926 36216 43352 46979 47626
153911,605 11984 20598 43400 44910
1530394,432 5077 10199 13176 19057 19660 21137 22035 26209 29370 39527 42828 43122 47209
1018776,32689
3158092,4605 12697 18987 33909 35123 35194 39604 46041
1788231,1194 2091 2966 6182 11937 13870 14133 17183 21417 21903 22151 22959 23543 24852 26209 28204 34969 35522 37197 40198 45007 46668 46820 47626
2580369,35939
2866997,5575 15872 21137 23986 24852 27000 27104 29987 32665 39275
1629029,1337 5258 7922 9421 13176 17948 21903 27104 27695 40156 48679
1158445,3583 8424 8903 19068 21903 24583 26576 28289 36522 36848 47626 49075
1184388,31396 32837
1261211,432 2450 17224 21137 21607 41618 45066
2976551,35547
524582,27845 47144 49683
2742254,20738 23909 23962 24852 29553 47626 47747
39629,5479 11576 13176 22115 24838
2496659,6799 10032 12218 12782 13375 17122 19389 20995 23037 24852 26456 27360 27966 30661 31981 40376 40621 45588
2676901,15134 18564 33677 34230 35846 37886
1078531,4920 5450 8174 18618 19057 21077 22935 26209 48171
2278368,1831 4357 5764 5876 10749 11776 13176 24184 27105 28228 36397 37646 37687 38837 38944 39190 44359 46565
3196397,25211 40198
695415,14947 20119 21709 27247 35221 36011 44632
2121710,2694 23430 30630
2904666,13176 18027 19660 21872 21938 26209 28985 30391 30489 31717 32747 41950 45007 46676 47209 47766
1497682,2855 48205
1726557,12341 16797
178418,5450 5785 22935 27966 28985 30233 45200 47626
391588,6489 7175 11933 13176 13249 17461 19057 27845 33120 34969 40604 41593
1055153,4920 25890 28204 34214 38456 40174 41844
1176544,7035 11494 36029
1170109,16558 30639
2471966,276 1582 4895 10957 14874 16797 17008 20114 22108 23909 26209 26321 27096 28204 31423 45066 46844 47366 47626 48205 48657 49340 49683
1994195,1930 9839 21903 24799 24852 27344 28465 36011 36865
2513235,24852 29010 38511
1624388,8571 33000
3020209,13176 42445
3255859,651 17807 22308 22935 24964 29326 38689 39812 42265 44359 47766
2005070,1199 4799 6948 15503 21903 27845 36717 38777 42768 48775
1237487,1511 4451 27690
2688906,1516 4597 5876 13176 21903 22935 24964 27104 30489 45007 47209
2170508,1379 38689
2563471,1 3260 4047 8859 13951 14564 18359 18790 21757 22340 29698 30553 34862 36843 40240 43631 47977 48304
1750505,42265
2318244,13176 36011 45066
242483,12341 24838 27845 44683 45570
1272828,16797 24852 38817
362619,36316 36923 37776 38730 39046
1168266,1940 32566 42887
141543,9175 28572 36107 45154
3183367,24489 35951 40199 44422
1797124,196 22802
89381,11422 43631 49191
1423050,24838 26683 27744 31663 39276 42443 43295
1249392,7054 13176 19057 24830 25949 26914 28535 28928 29447 35221 36036 44632 47766
3311636,5876 31933 47209
439205,24852
420520,3512 5782 9387 16607 24852 49647
2754200,23909 24852 25804 28204 30696 31981 35628 39982 42504
2558743,94 329 5484 5785 8277 10199 11520 13176 14010 16396 16847 19272 19611 19706 21137 26278 27744 27845 27966 28476 28785 37349 38159 43295 43738 46166 47209
1287397,28204
1519990,24852 27086 42736
1671355,11123 21903 24852 25837 37646 39928 46676 47209
2791256,10343 17949 19057 19348 21137 21903 24631 24799 24852 30489 34217 40310 47209
2520517,5985 8571 12341 21292 32689
1930805,13176 31651 47402
1502827,5612 27845 38453 49235
1054066,3896 10467 27288 47156
109911,5168 8424 19893 21903 24852 24964 25890 26209 28985 38293 38662 43662 43961 46206 46676 46802 46979 47626 47766 49683
934581,5479 12456 14833 22935 26209 26604 27966 32864 35140 37687 47626 48034
311086,5785 7393 8501 13841 29447 32579 33845
2997340,148 1541 1685 4920 7156 8424 15130 17419 22959 23734 24184 24852 25890 29487 30727 32133 40136 40997 41787 47766 49683
216270,1215 4210 8022 11352 13176 13858 17794 21137 22035 23765 24024 24535 29370 34448 36695 37646 39928 42450 43643 43713 47209
889691,3896 5612 13646 14858 19966 20392 27086 36070 46485
2676926,1313 2966 20114 34380 37646 44142 47209 47626 47766
1146075,2120 5353 5785 14764 16759 17419 18838 24125 32655 33000 42445
3168076,13176 21903 28158 39275 40706 44949
2316252,21573 32403
1199748,24218 44570 47626 47766
2572651,21137
1196886,4210
2864780,4792 13249 16168 18523 21903 24852 35045 48857
2101491,3464 6348 6532 8277 8518 9444 10749 13560 16363 21137 21938 24852 25197 26209 26369 30949 31717 36695 38383 42265 47766
2898328,5547 30923
2308945,169 8555 19508 24852 28985 30960 34050 37766 40332 47626 48645
551385,8859 19376 21903 22228 22959 24852 49683
2065552,2120 3990 13176 14348 14999 18019 20019 20114 20842 22309 28092 29623 35003 39491 40586 44533
2619795,432 8744 9387 20378 22186 22695 24184 24852 34358 37072 44142 47766 48205 49098
92308,40223 47766
2869963,6347 11520 21903 42265
221995,18443 21195 21903 32478 35336
2364225,432 4562 4605 5450 6046 6473 11777 21158 24852 26209 29487 32115 32689 36186 37330 38444 42460 42736 43772 45290 46841 47890
2383884,12427
1409336,651 3880 13176 21137 26209 27548 27845 29370 40199 41220 43394 44359 47766 47788
2985179,23383 31717 35951 41220 46584
2510588,12395 13176 27695 32747 36929 46990 49235
2724284,12923 22054 25558 39475 42840
406182,1843 3919 5976 6046 8149 8800 10032 17426 21689 23909 23957 27313 32303 33614 33827 35921 37250 37366 38793 40332 45961 47226
3359540,16797 30633 49235
1382149,4920 12456 13176 28842 32177 40198
113476,4605 5373 18883 33279 47734
172394,6985 13176 21137 25890 47766
1017522,5578 13176 20437 21903 25005 27325 31717 34243 35221 40604 42719 44632 45104 46667 46979
1148846,27985
1389899,6350 9741 17080 19894 47626
383770,5484 7681 42526 47626 47977 48559
1344043,8736 11945 16398 23565 26576 27949 31634 38205 44570 47766
2172762,1689 10673 20378 25466
1635368,4210 13176 21137 44201
624714,1090 2639 3044 23909 27945 34117 42659 44536 48205
3102231,1940 44142
3070543,2014 3855 4920 9534 11440 13176 18441 22312 27695 27845 28597 32717 37646 38274 41242 45633 46906 47616 48595 48720 49683
1378259,3431 7533 9623 10957 24852 33791 42834
951592,5385 5456 32655 34111 38558
2270224,33351 38185 40486 41485
3235117,22035 27845 36117 47626
1720960,11266
2279794,5550 9121 12879 25480 36011 42948
1248981,11140 24279 24852 31215 31292
1516872,13031 24852 47626 47766
533523,1940 5603 7781 8174 13176 13203 27514 27966 31960 44980 47570 49235
20345,2187 3957 5212 5785 6568 7916 8017 10749 11520 12456 13176 14870 15290 15399 17652 21137 24852 25832 26165 26909 27344 27548 27620 27966 36406 37029 37646 39408 41787 42265 45066 47209
2771992,4792 9508 14778 17982 24799 28199 33894 36978 37158 39832 45596
3118092,3245 5114 5825 5876 6218 6291 16759 17794 21137 26209 26746 26940 27104 27966 30391 31717 34126 38383 39275 39877 40706 41065 41259 43768 44683 45007 46667 47766
1242668,8859 18071 24852 28204 34262 43252 44925
352630,1203 13176 19660 21903 27521 32566
2072510,2086 4142 5450 11520
1237738,15424 20082 21137 30569 35921 39581 43842
121516,7693 12845 19209 24053 32303 48527 49492
1523498,21333 28515
2239739,2611 6489 19006 20631 22122 22969 23375 27845 31343 33198 37766 47766 48967 49201
1970457,3397 4210 4793 8087 8859 13176 13431 13819 21267 22035 23044 27307 27454 28862 30391 35628 37388 40199 41165 42265 42342 46584 47209 47912
2525507,3481 4781 8518 10749 13176 16759 16973 21137 22935 24852 26604 27521 46069 47209
2786948,2846 6383 14874 21614 24852 26856 31640 32689 32864 40706
3032161,2038 8204 8390 15383 19165 22952 33827 35383 39108 46522
2788023,13176 19660 20754 21108 30391 47626
1392421,21288
2491706,4210 8804 9076 13636 16696 16797 16953 19178 21282 24643 24852 31343 39108 39581 40939 41373 43295 44654
2572782,4210 47626
23500,3957 13176 27104 27695 35951 44624 44632 49416
2262783,8277 21903 33000 41618 42244
1052165,9047 21386 25487 44359 47890 49683
2544926,11759 13966 32478
1500721,39409 42389
527075,21115 23341 24852 27730 43409 43772 44562 45066
3018942,10258 17122
2933690,2480 4410 5130 10644 39275 41950 47144 47766
1295088,5450 19677 24852 47209
1205372,21267 24561 24852 35887 38689
2784114,42445
2634958,19625 21137 21903 24852 39877 40656 44098 44815 47209
1684278,1194 27966 33198
3381268,9554 11865 13031 14126 15950 19125 24852 26032 32029 35951 38689 40380 42828
1601439,8424 13176 14992 15153 28601 29675 37687 39928 44949 49683
3419249,5876 11408 13176 16797 22935 37646 39589 43789 47209
972886,5876 47868
3288057,37121 42736 44799 44987
2802507,21242 27086
1440533,7249 8571 13032 21137 26317 31651 33081 43154 43352 49235
2128112,4138 13966 28204 37552 43252
2061262,3999 13176 23554 28204 28594 32747 39605 41315 45570
1860851,148 24852 28199 39877 42495
1294240,196 9644 13176 16797 26900 32478
2485297,19171 22935 24852 44142
615968,11576 13870 16589 18765 30489 41716
714005,196 1541 1582 1700 5976 9513 24852 25861 37374 40403
507309,43044 45007 46188
539759,1848 5077 6348 12481 13870 17316 21616 24852 25547 26940 28204 32033 46692 49683
730226,11365 12899
2219156,32650 38785 45569 48933
1562811,5479 8277 9424 17741 24489 37197 38890 44765 46880 49111
2346992,24852 45679
825152,1940 2356 3169 5069 7028 8026 10479 14863 15120 16995 17600 21137 24037 24852 25837 27239 28204 33129 42265 45066 47435
1217860,25146 28427 29487 46979
39872,6101 7688 20842 32441 40332 49610
797320,4671 17948 21903 24489 24933 38925 39877 42768 49224
2117678,1335 46226
644486,1194 8859 24852 47766
1166076,4086 9825 10749 21903 22935 40706
1660241,5876 21288 21405 26209 27104 28008 29307 30233 31717 39877 47766
2578885,12341 21137 22959 34949 39180 49621
2719212,1360 4297 20876 24852 32828 47766 49075
2897298,13176 24489 47977 48845
737811,24852 26683 35168 35951
3377875,9018 24852 25890 45635
2003451,34898 42731
1242569,3957 13176
708051,6774 21616 24964 28156 36011
979711,16759 20015 25890 31915 34358 37067 39928 45007 45066 46969
115809,7533 23106 38241 42450 42598
330006,13176 16387 31614 42612
1003428,3429 3952 11078 19660 38988 41065 48679
796276,12545 14947 24852 42257
2134549,695 1682 9692 16965 34483 35342 40299
173060,1158 3296 13629 19057 21137 22474 22825 24518 24852 26800 27966 30391 31915 34584 35221 44479 44663 45013 48486
1417318,10768 13166 17027 30639 35951 49235
1747737,6348 27845 29447 31618 39475
1094757,1514 3990 5083 7738 9225 13176 16419 18987 21333 23322 24852 27966 28427 28931 28993 40028 43772
1023763,907 8048 22028 30827
3096624,19546 26861 32710 42980 44142
556998,5077 5794 13176 18432 32784 37354 39275 43352 43772 46847
1654614,4451 9839 10749 13629 15795 16560 17461 18926 19057 19156 21137 21903 22298 22935 24852 24954 27845 27966 28985 34134 36397 38190 43768 46087 47196 47626 47766
348608,9076 12863 23909 29487 32679 34487
3263101,3765 5785 6492 11386 13805 14084 19180 20580 24373 24799 26131 27845 28465 31720 33462 39877 47912
472089,2855 5450 7485 16759 19677 21903 24852 25890 36076 36550 38293 38383 45066 47766
1477795,19660 21903 27104 31717 39877 41950 46667 46979 47209 49683
1837509,2604 15429 22559 25753 42736
1295547,35914
183244,1831 2717 5771 12919 21333 31964 35221 35458 38267 46676 49191
687724,16797 26209
1257586,4600 5077 11352 12456 13176 13225 14678 18465 21903 25305 28226 33731 35951 37524 38374 38689 39619 44533 45007 47209 47977
1964277,3896 10912 13176 15649 21137 21614 25747 29126 32740 35503 35921 37646 38689 39877 40706
3354422,9122 19660 25171 25659 37464 44261 47258
3299383,432 12107 20574 21903 28851 38293 42265 45007 49683
1917547,12341 15541 31759 36534
18113,2469 3107 7156 35221 40332 47766 48205
422051,1392 9934 13176 16797 18234 21872 22935 28424 28985 41678 42585 47209
3380822,2120 14233 21927 29799 45190
825986,4656 8390 11777 12980 15902 16797 20815 22695 24142 36070 40376 48109 49622
1334507,3880 5077 8536 13944 14576 14780 15860 16971 21903 22476 23204 26924 27102 29675 30183 31091 31216 31683 32762 37940 41602 43263 46341 47766 49520
2857490,8518 13176 15995 21137 21903 24489 27966 32927 35951 39275 48679
912310,18465
307143,2825 8277 12276 13176 13629 17461 17789 18027 18465 20754 21137 25931 27730 28985 38164 39475 41220 42265 42557 43122 44359 49683
2252628,4595 5128 33626
2343550,4942 21903 26604 43014
977808,2763 4210 21903 44632
2298851,4698 15902 26209 45603 46676 48559
1377070,7131 20809 22963 29307 40454 44683 47626
1138234,389 7581 9810 17154 22282 26839 38849 46049 48246 49387
2166558,13944 45004
1067908,6111 8580 14636 16363 21083
235789,5258 9535
3112593,23909 24235 37215
3261182,22935 26324 43772
2996466,5618 33465
917864,26172 32691 36691
3302795,10749 21137 35523 48679
544889,1158 7412 7963 13249 20339 21288 24489 24852 27086 34214 35221 35336 39993 47639
14817,5918 19389 26587 36591 39815
995122,4138 4428 19348 24631 25272
658852,32714 37687 38928
2999536,5337 13176 17207 33768 46931
1151839,403 20842 24852 25204
1103486,18234 18656 19895 21938 23102
412133,24852 35504 45346
1898121,13914 21292 21573 26088 26348 32455 37710 40199 45004 49235
3063004,6184 12341 13176 15541 16974
1703133,6774 12846 18606 18618 19125 21903 25890 36076 46720
3061961,27985 44152
3339861,11688 16793 24852
1073265,7021 14084 18027 21903 24810 24852 24964 26209 26369 27845 27966 28934 31717 35951 43352 47626 48679
3106959,3055 22035 26165 47766
2546776,16797 21709 28373 35221 48679
2991602,4920 15700 21137 22825 45066
3221782,1689 9551 20919 21330 23341 23785 25363 25886 32605 35042 36259 40338 42585 43295 44142 46201 46979
1011297,17794 22935 25931 34126 45007
3099304,11759
2110390,44041
1520586,4781 13176 15872 21137 27104 29487 38739 39275
3377720,13176 17419 27730 27966 49383
913397,5450 17600 19057 21137 24852
1301634,4142 13176 18918 21903 27845 32864 42091 49235
781578,769 13259 21137 31343 32478 37710 40199 46562
526421,6631 16097 22035 22089 24852 25890 44987 47766
40070,22025 22298 27845 35887
1122524,196 43744 49235
3307750,21386 24852
3072395,7969 8424 10955 17317 40091 43565 47626 47766
1448063,4605 5161 6238 17794 17948 18811 19057 21137 24852 27521 27744 27966 34358 36550 45066 47766
1304479,23634 28849 30450 32665 37724
2222025,9124 9339 17224 23322 25513 32955 34262 48287
583891,3248 14881 21903 24852
1560567,9175 25493 47611 47660
1952709,8859 9068 12013 14063 47990
2477100,5876 8174 13045 13176 15081 15462 16396 21137 21174 22935 23165 24964 27142 29310 29871 34065 35530 36070 38383 43122 45007 46720 47209
2962049,790 23532 43772 44142 48199 49683
1919322,5876 20995
2509434,3457 13176 19057 25931 28985 31553 36865 44910 47209
3246106,3512 4942 8204 16797 21616 21938 22935 23644 24184 24852 27323 30849 32239 34668 47766
1887165,6022 18253 28370 47842
2733997,196 5258 20518 27012 32689
2244940,6128 12068 12817 19495 20769 21351 30183 33198 34154 35695 43409 43814
1969261,10804 18610 26914 38689 41212
3212682,2086 8021 10017 17794 21903 24852 28156 28204 43772 45007 47626 49683
1412630,21709 22888 24964 27695 28986 38273
279090,4261 20919 28985 40706 47626
2534805,9189 9585 13176 16797 18838 19691 23423 27790 32455 37687 39108 39275 43352
263089,6052 9387 14999 15290 24852 24954 41950 43352 43565 49610
1635309,17652 47626
3358926,7916 9076 10385 13984 20015 21616 21903 29127 43768 47626
1200207,12986 14197 35163 38689 46677
491363,196 10984 11821 26863 27179 34217 36696
712585,7812 11422 24759 25330 40348 42460 43352 47141
747352,21288 25588 32478 43352
2785463,196 5258 8843 11759 37710 39657
1516308,24852 26558
2720462,4149 5258 13914 16953 22046
2481125,10089 26209 30909 33198
1505169,13646 17706 21614 22035 22115 24852 25890 27086 38273 39180 40706
2214673,1379 1514 6091 8424 8684 14493 18625 20842 24041 24561 24985 27104 28199 28553 33129 34124 34862 35946 36011 38608 40332 42495 45009 45313 45954 47008 47766
2391741,17871 21616 26856 35168 35898
341508,26348
2875779,15929 24925 35221 47626
1937241,33043 35108
583654,5342
3111365,3397 5025 7264 8021 10246 13457 16398 19660 21938 35503 35921 37067 40706 41220 42342 49683
489189,1215 2051 4920 8193 9076 17021 20142 28745 33467 33674 34134 35548 37158 37646 42564 47167 47616 47766 47866
792330,13176 16234 47766
1711925,8277 21903 27730 27845 30489 35045 38453 39928 46969 48058 49683
967626,2298 7781 11520 13107 18376 21137 22825 24852 30391 34262 35369 36127 37158
